,invoice_no,category,item,quantity,price,customer_id,date_key,payment_method,card_type,shopping_mall,city,province_state,country,first_name,last_name,gender,age,dob,is_churned,days_since_last_purchase,tenure,discount_used,last_purchase_date,purchase_frequency,avg_purchase_value,day_of_week,month,year,quarter,is_holiday,total_spent,purchase_count
8092,108092,Body Care and Hygiene,Hand Sanitizer,3,24.92,633,2020-05-30,Apple Pay,,The Mall at Short Hills,Short Hills,New Jersey,US,Rebecca,Walker,Female,19.0,2006-01-01,0.0,1084.0,4.0,0.0,2021-02-03,3.0,262.66,Saturday,May,2020,2020Q2,1,194.93,9
8093,108093,Skin Care,Face Wash,2,58.84,199,2021-02-11,Debit Card - Visa,Visa,Brookfield Place,New York,New York,US,Chad,Burgess,Other,62.0,1962-10-09,1.0,687.0,8.0,0.0,2022-05-19,40.0,378.22,Thursday,February,2021,2021Q1,0,310.31,10
8094,108094,Skin Care,Moisturizer,4,85.62,363,2023-11-04,Google Pay,,South Coast Plaza,Costa Mesa,California,US,Raymond,Clark,Female,60.0,1965-01-28,0.0,1509.0,6.0,0.0,2020-07-08,23.0,299.27,Saturday,November,2023,2023Q4,1,490.26,12
8095,108095,Skin Care,Sunscreen,4,86.21,151,2021-04-14,Debit Card - Visa,Visa,Westfield London,London,England,UK,Maria,Walker,Female,59.0,1966-01-31,1.0,69.0,4.0,0.0,2021-11-20,46.0,203.44,Wednesday,April,2021,2021Q2,0,485.40999999999997,15
8096,108096,Skin Care,Moisturizer,3,100.0,811,2020-08-20,Credit Card - AMEX,AMEX,Pheasant Lane Mall,Nashua,New Hampshire,US,Bailey,Rowland,Other,31.0,1993-03-25,0.0,452.0,7.0,0.0,2020-12-10,22.0,379.47,Thursday,August,2020,2020Q3,0,448.27,17
8097,108097,Oral Care,Toothpaste,2,8.99,122,2022-10-27,Credit Card - Visa,Visa,Westfield San Francisco Centre,San Francisco,California,US,Kyle,Rodriguez,Other,68.0,1956-07-09,0.0,1536.0,10.0,0.0,2023-01-11,24.0,385.04,Thursday,October,2022,2022Q4,0,314.66,11
8098,108098,Hair Care,Hair Oil,1,21.04,211,2020-06-24,Credit Card - AMEX,AMEX,Palisades Center,West Nyack,New York,US,Sherri,Allen,Female,57.0,1967-04-13,1.0,1398.0,3.0,1.0,2023-05-07,37.0,117.38,Wednesday,June,2020,2020Q2,0,467.73,18
8099,108099,Skin Care,Face Wash,4,32.78,32,2025-01-05,Debit Card - MasterCard,MasterCard,The Florida Mall,Orlando,Florida,US,Mary,Drake,Male,52.0,1973-01-10,1.0,461.0,1.0,0.0,2023-12-31,29.0,76.23,Sunday,January,2025,2025Q1,1,284.73,11
8100,108100,Body Care and Hygiene,Body Lotion,3,29.24,53,2022-02-22,Debit Card - Visa,Visa,The Gardens Mall,Palm Beach Gardens,Florida,US,Robert,Smith,Male,70.0,1954-05-14,0.0,253.0,5.0,0.0,2020-11-09,47.0,164.12,Tuesday,February,2022,2022Q1,0,293.19,16
8101,108101,Oral Care,Toothpaste,1,6.08,185,2020-02-23,Debit Card - Visa,Visa,Stonebriar Centre,Frisco,Texas,US,Nicholas,Johnston,Female,20.0,2004-08-24,1.0,1689.0,9.0,0.0,2020-11-27,31.0,372.29,Sunday,February,2020,2020Q1,1,326.3,12
8102,108102,Hair Care,Hair Oil,1,15.55,688,2020-11-04,Apple Pay,,Bellevue Square,Bellevue,Washington,US,Michael,Haynes,Male,20.0,2004-12-26,0.0,466.0,6.0,0.0,2022-02-08,49.0,113.89,Wednesday,November,2020,2020Q4,0,280.5,10
8103,108103,Hair Care,Shampoo,2,5.32,155,2023-04-27,Credit Card - AMEX,AMEX,SouthPark,Charlotte,North Carolina,US,Michael,Knight,Female,64.0,1961-01-25,1.0,375.0,5.0,1.0,2021-03-13,18.0,116.92,Thursday,April,2023,2023Q2,0,291.77,8
8104,108104,Hair Care,Shampoo,1,7.4,967,2023-02-16,Apple Pay,,International Plaza and Bay Street,Tampa,Florida,US,Dustin,Fitzgerald,Male,62.0,1962-04-26,1.0,1098.0,9.0,1.0,2024-07-07,32.0,176.2,Thursday,February,2023,2023Q1,0,350.71,13
8105,108105,Body Care and Hygiene,Body Lotion,2,24.59,149,2020-11-05,Debit Card - Visa,Visa,Dolphin Mall,Miami,Florida,US,Kathy,Moore,Other,31.0,1993-05-04,1.0,1291.0,7.0,0.0,2022-10-26,50.0,280.97,Thursday,November,2020,2020Q4,0,291.16,17
8106,108106,Hair Care,Shampoo,3,20.76,632,2023-11-07,BNPL (Buy Now, Pay Later),Bayshore Shopping Centre,Ottawa,Ontario,Canada,Jason,Phelps,Male,20.0,2005-01-04,0.0,241.0,5.0,0.0,2021-03-05,10.0,25.24,Tuesday,November,2023,2023Q4,0,243.19,10
8107,108107,Hair Care,Hair Oil,2,34.61,366,2021-12-03,Debit Card - Visa,Visa,Tysons Corner Center,McLean,Virginia,US,Jennifer,Hampton,Other,59.0,1965-12-27,0.0,1635.0,9.0,1.0,2022-03-03,24.0,183.99,Friday,December,2021,2021Q4,0,360.87,10
8108,108108,Hair Care,Shampoo,2,49.22,234,2020-11-19,PayPal,,Bullring & Grand Central,Birmingham,West Midlands,UK,Jason,Collins,Other,50.0,1974-10-01,0.0,1689.0,7.0,1.0,2024-12-20,39.0,467.33,Thursday,November,2020,2020Q4,0,449.95,15
8109,108109,Skin Care,Moisturizer,4,94.96,427,2020-04-09,Credit Card - AMEX,AMEX,Westfield Stratford City,London,England,UK,Tiffany,Pierce,Male,34.0,1990-11-21,0.0,1788.0,5.0,1.0,2021-10-09,18.0,159.15,Thursday,April,2020,2020Q2,0,666.95,17
8110,108110,Skin Care,Sunscreen,4,54.46,720,2024-01-17,Credit Card - AMEX,AMEX,Brookfield Place,New York,New York,US,Michael,Christensen,Other,69.0,1955-03-30,0.0,973.0,5.0,0.0,2024-12-20,30.0,249.82,Wednesday,January,2024,2024Q1,0,168.11,7
8111,108111,Body Care and Hygiene,Deodorant,3,26.13,891,2021-08-17,Debit Card - MasterCard,MasterCard,The Shops at La Cantera,San Antonio,Texas,US,Michael,Smith,Other,25.0,2000-01-09,1.0,1456.0,6.0,1.0,2020-08-01,15.0,15.27,Tuesday,August,2021,2021Q3,0,347.08,12
8112,108112,Hair Care,Hair Oil,1,46.08,467,2024-11-29,Cash,,Perimeter Mall,Atlanta,Georgia,US,Derek,Mayer,Female,49.0,1975-03-03,1.0,1807.0,4.0,1.0,2023-10-11,29.0,133.96,Friday,November,2024,2024Q4,0,329.35,12
8113,108113,Hair Care,Conditioner,1,37.7,208,2022-10-17,PayPal,,Bellevue Square,Bellevue,Washington,US,Steven,Davidson,Other,34.0,1990-06-03,1.0,1192.0,1.0,0.0,2022-01-11,39.0,230.61,Monday,October,2022,2022Q4,0,453.92,13
8114,108114,Skin Care,Moisturizer,3,49.33,63,2021-01-20,PayPal,,The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US,Dustin,Turner,Other,44.0,1980-07-14,0.0,506.0,5.0,0.0,2024-04-07,15.0,452.03,Wednesday,January,2021,2021Q1,0,482.03999999999996,12
8115,108115,Hair Care,Hair Oil,2,32.33,410,2025-01-27,Credit Card - AMEX,AMEX,Easton Town Center,Columbus,Ohio,US,Jacqueline,Duncan,Other,62.0,1962-10-18,0.0,1061.0,6.0,1.0,2023-09-21,13.0,240.26,Monday,January,2025,2025Q1,0,281.46,9
8116,108116,Hair Care,Shampoo,3,6.43,103,2024-03-14,Credit Card - AMEX,AMEX,NorthPark Center,Dallas,Texas,US,Christopher,White,Female,56.0,1968-07-03,0.0,1700.0,1.0,1.0,2020-12-24,20.0,45.08,Thursday,March,2024,2024Q1,0,243.09,9
8117,108117,Hair Care,Hair Oil,2,40.77,502,2021-11-15,BNPL (Buy Now, Pay Later),Arndale Centre,Manchester,Greater Manchester,UK,Morgan,Weaver,Other,62.0,1962-10-01,1.0,1595.0,10.0,1.0,2022-03-25,50.0,396.78,Monday,November,2021,2021Q4,0,285.8,7
8118,108118,Oral Care,Toothpaste,1,17.17,412,2024-01-10,Debit Card - Visa,Visa,Westfield Stratford City,London,England,UK,Curtis,Salazar,Other,53.0,1972-02-01,0.0,489.0,6.0,1.0,2023-02-11,21.0,15.36,Wednesday,January,2024,2024Q1,0,528.64,14
8119,108119,Oral Care,Mouthwash,4,16.48,762,2022-04-14,Debit Card - MasterCard,MasterCard,Dolphin Mall,Miami,Florida,US,Maria,Monroe,Other,37.0,1987-09-13,0.0,602.0,2.0,1.0,2023-02-02,6.0,483.36,Thursday,April,2022,2022Q2,0,339.9,13
8120,108120,Body Care and Hygiene,Deodorant,2,3.13,798,2020-12-31,Google Pay,,The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US,Stephen,Jimenez,Male,46.0,1978-12-19,1.0,721.0,1.0,1.0,2021-11-15,11.0,112.01,Thursday,December,2020,2020Q4,0,535.65,16
8121,108121,Oral Care,Toothpaste,3,3.79,728,2022-03-16,Credit Card - Visa,Visa,Westfield San Francisco Centre,San Francisco,California,US,Michele,Williams,Female,23.0,2001-11-17,1.0,977.0,9.0,0.0,2024-01-31,45.0,434.31,Wednesday,March,2022,2022Q1,0,254.45,8
8122,108122,Skin Care,Moisturizer,3,52.48,696,2021-02-19,Cash,,Tysons Corner Center,McLean,Virginia,US,Elizabeth,Kelly,Female,32.0,1992-06-05,0.0,1692.0,6.0,1.0,2020-05-11,35.0,64.07,Friday,February,2021,2021Q1,0,346.71,14
8123,108123,Oral Care,Toothpaste,1,5.47,642,2025-01-21,Credit Card - Visa,Visa,Lenox Square,Atlanta,Georgia,US,Ryan,Smith,Other,60.0,1964-08-26,1.0,109.0,9.0,0.0,2024-02-01,3.0,47.06,Tuesday,January,2025,2025Q1,0,191.44,8
8124,108124,Oral Care,Mouthwash,1,7.53,248,2023-02-12,BNPL (Buy Now, Pay Later),Stanford Shopping Center,Palo Alto,California,US,Thomas,Mason,Male,26.0,1998-06-23,1.0,247.0,10.0,0.0,2020-09-15,6.0,333.41,Sunday,February,2023,2023Q1,1,494.37,14
8125,108125,Oral Care,Toothpaste,3,3.75,621,2022-01-20,BNPL (Buy Now, Pay Later),The Mall in Columbia,Columbia,Maryland,US,Robert,Kelly,Female,50.0,1974-05-05,0.0,1624.0,3.0,1.0,2021-06-06,8.0,377.54,Thursday,January,2022,2022Q1,0,240.35,11
8126,108126,Body Care and Hygiene,Hand Sanitizer,4,10.14,68,2021-10-02,Apple Pay,,Dolphin Mall,Miami,Florida,US,Natasha,Wright,Female,56.0,1968-09-08,0.0,1010.0,6.0,0.0,2024-06-26,24.0,395.23,Saturday,October,2021,2021Q4,1,460.97,13
8127,108127,Body Care and Hygiene,Hand Sanitizer,1,27.58,921,2023-04-01,Credit Card - Visa,Visa,Aventura Mall,Miami,Florida,US,David,Clark,Female,50.0,1974-11-05,1.0,896.0,5.0,1.0,2023-09-12,2.0,31.84,Saturday,April,2023,2023Q2,1,268.71,10
8128,108128,Hair Care,Conditioner,2,16.43,583,2020-04-12,PayPal,,The Dubai Mall,Dubai,Dubai,UAE,Doris,Webb,Female,20.0,2004-03-20,1.0,1521.0,8.0,1.0,2020-02-28,50.0,159.82,Sunday,April,2020,2020Q2,1,60.09,3
8129,108129,Body Care and Hygiene,Hand Sanitizer,2,20.13,680,2020-01-09,PayPal,,Aventura Mall,Miami,Florida,US,Deanna,Pena,Female,55.0,1969-12-17,1.0,1202.0,2.0,0.0,2020-09-29,27.0,217.08,Thursday,January,2020,2020Q1,0,436.77,11
8130,108130,Skin Care,Lip Balm,3,86.75,851,2024-06-27,Credit Card - Visa,Visa,The Shops at Columbus Circle,New York,New York,US,Jacqueline,Norris,Male,54.0,1970-12-13,1.0,1096.0,6.0,0.0,2023-10-11,8.0,477.26,Thursday,June,2024,2024Q2,0,223.49,7
8131,108131,Body Care and Hygiene,Deodorant,4,12.73,895,2023-04-25,Credit Card - MasterCard,MasterCard,King of Prussia Mall,Philadelphia,Pennsylvania,US,Amanda,Leon,Male,48.0,1976-02-27,0.0,1027.0,6.0,0.0,2024-01-05,4.0,141.57,Tuesday,April,2023,2023Q2,0,398.89000000000004,11
8132,108132,Oral Care,Toothpaste,1,8.37,808,2023-10-09,Cash,,The Grove,Los Angeles,California,US,Kathleen,Marshall,Other,19.0,2006-02-24,0.0,172.0,8.0,1.0,2023-11-10,8.0,167.1,Monday,October,2023,2023Q4,0,446.47,11
8133,108133,Hair Care,Hair Oil,1,21.2,611,2023-10-21,Credit Card - AMEX,AMEX,The Florida Mall,Orlando,Florida,US,Ellen,Franco,Other,55.0,1969-10-31,0.0,1338.0,9.0,1.0,2022-02-19,10.0,339.0,Saturday,October,2023,2023Q4,1,276.03000000000003,13
8134,108134,Hair Care,Conditioner,2,5.07,405,2024-01-23,Credit Card - Visa,Visa,West Edmonton Mall,Edmonton,Alberta,Canada,Mary,Mitchell,Female,44.0,1980-08-21,1.0,1296.0,5.0,0.0,2022-10-29,12.0,157.1,Tuesday,January,2024,2024Q1,0,370.98,15
8135,108135,Skin Care,Lip Balm,2,79.5,938,2021-08-07,Debit Card - MasterCard,MasterCard,Stanford Shopping Center,Palo Alto,California,US,Angela,Wolf,Male,30.0,1995-01-18,1.0,1494.0,1.0,0.0,2020-01-19,30.0,52.4,Saturday,August,2021,2021Q3,1,421.84,14
8136,108136,Body Care and Hygiene,Deodorant,1,29.54,162,2024-07-16,Google Pay,,Westfield Stratford City,London,England,UK,Michael,Smith,Other,49.0,1975-03-18,0.0,1411.0,9.0,1.0,2023-02-19,18.0,166.44,Tuesday,July,2024,2024Q3,0,624.03,16
8137,108137,Body Care and Hygiene,Hand Sanitizer,3,20.43,309,2024-05-17,Cash,,Westfield Annapolis,Annapolis,Maryland,US,Heather,Hill,Female,66.0,1958-05-29,0.0,44.0,6.0,1.0,2023-03-21,29.0,341.75,Friday,May,2024,2024Q2,0,676.3199999999999,17
8138,108138,Hair Care,Conditioner,2,20.37,242,2022-08-20,Debit Card - Visa,Visa,South Coast Plaza,Costa Mesa,California,US,Lawrence,Nixon,Other,58.0,1966-10-12,1.0,1693.0,9.0,1.0,2023-12-16,11.0,285.01,Saturday,August,2022,2022Q3,1,250.12,9
8139,108139,Oral Care,Mouthwash,4,14.74,820,2021-04-06,BNPL (Buy Now, Pay Later),International Plaza and Bay Street,Tampa,Florida,US,Morgan,Black,Female,34.0,1990-09-24,1.0,560.0,3.0,1.0,2023-04-02,43.0,253.53,Tuesday,April,2021,2021Q2,0,350.9,11
8140,108140,Skin Care,Sunscreen,3,15.96,555,2021-03-12,Apple Pay,,The Oracle,Reading,Berkshire,UK,Jessica,Parsons,Male,40.0,1984-04-06,1.0,587.0,8.0,0.0,2021-04-26,40.0,400.8,Friday,March,2021,2021Q1,0,229.95000000000002,10
8141,108141,Skin Care,Face Wash,3,47.84,15,2024-04-20,Apple Pay,,Bellevue Square,Bellevue,Washington,US,Earl,Davis,Male,18.0,2006-10-04,1.0,346.0,1.0,0.0,2020-11-20,50.0,10.93,Saturday,April,2024,2024Q2,1,131.59,6
8142,108142,Skin Care,Face Wash,2,22.97,266,2021-12-27,Debit Card - MasterCard,MasterCard,Metrocentre,Gateshead,Tyne and Wear,UK,Gail,Walker,Other,24.0,2000-03-11,1.0,1689.0,9.0,0.0,2024-11-26,14.0,149.53,Monday,December,2021,2021Q4,0,312.09,9
8143,108143,Skin Care,Moisturizer,3,10.7,467,2023-07-24,Credit Card - Visa,Visa,Cherry Creek Shopping Center,Denver,Colorado,US,Derek,Mayer,Female,49.0,1975-03-03,1.0,1807.0,4.0,1.0,2023-10-11,29.0,133.96,Monday,July,2023,2023Q3,0,329.35,12
8144,108144,Hair Care,Hair Oil,3,18.66,267,2021-03-26,PayPal,,Tysons Corner Center,McLean,Virginia,US,James,Phelps,Other,46.0,1978-12-04,0.0,114.0,5.0,0.0,2020-01-01,17.0,460.49,Friday,March,2021,2021Q1,0,370.98,9
8145,108145,Skin Care,Moisturizer,3,88.2,724,2020-10-12,Credit Card - MasterCard,MasterCard,Park Meadows,Lone Tree,Colorado,US,Leah,Mcguire,Female,26.0,1998-09-25,0.0,1046.0,10.0,1.0,2020-06-04,20.0,104.16,Monday,October,2020,2020Q4,0,637.35,19
8146,108146,Hair Care,Shampoo,1,14.66,384,2020-03-12,Credit Card - MasterCard,MasterCard,Stonebriar Centre,Frisco,Texas,US,Laura,Williams,Other,45.0,1979-04-05,1.0,939.0,7.0,0.0,2024-03-30,1.0,282.78,Thursday,March,2020,2020Q1,0,623.29,15
8147,108147,Body Care and Hygiene,Hand Sanitizer,3,23.36,106,2022-07-24,Apple Pay,,International Plaza and Bay Street,Tampa,Florida,US,Charlotte,Duncan,Male,45.0,1979-08-28,0.0,551.0,10.0,0.0,2024-10-20,11.0,495.87,Sunday,July,2022,2022Q3,1,280.53,9
8148,108148,Body Care and Hygiene,Hand Sanitizer,3,20.5,600,2020-08-13,Credit Card - MasterCard,MasterCard,International Plaza and Bay Street,Tampa,Florida,US,Laura,Salinas,Female,27.0,1998-02-14,0.0,355.0,8.0,0.0,2023-07-26,20.0,46.51,Thursday,August,2020,2020Q3,0,370.4,11
8149,108149,Hair Care,Hair Oil,1,41.26,141,2023-10-06,Credit Card - Visa,Visa,The Shops at Columbus Circle,New York,New York,US,Nicholas,Garcia,Other,33.0,1991-11-08,1.0,1785.0,10.0,0.0,2020-04-17,29.0,363.21,Friday,October,2023,2023Q4,0,359.42,12
8150,108150,Skin Care,Face Wash,1,63.8,100,2024-11-22,Debit Card - Visa,Visa,Westfield Stratford City,London,England,UK,John,Anderson,Other,46.0,1978-03-24,0.0,38.0,2.0,0.0,2020-11-13,38.0,374.68,Friday,November,2024,2024Q4,0,230.04,6
8151,108151,Skin Care,Face Wash,3,76.04,485,2023-04-10,Credit Card - MasterCard,MasterCard,The Gardens Mall,Palm Beach Gardens,Florida,US,Cheryl,Dominguez,Other,64.0,1960-11-22,1.0,1243.0,10.0,1.0,2020-01-12,47.0,178.56,Monday,April,2023,2023Q2,0,422.37,12
8152,108152,Body Care and Hygiene,Deodorant,4,26.79,226,2021-04-12,Credit Card - Visa,Visa,Tysons Corner Center,McLean,Virginia,US,Angela,Murray,Female,39.0,1985-04-09,1.0,1614.0,9.0,0.0,2020-10-13,33.0,21.3,Monday,April,2021,2021Q2,0,174.39,10
8153,108153,Body Care and Hygiene,Body Lotion,2,13.15,702,2024-01-28,Apple Pay,,The Streets at Southpoint,Durham,North Carolina,US,Charles,Nelson,Male,30.0,1994-03-02,1.0,982.0,7.0,1.0,2022-12-11,5.0,141.7,Sunday,January,2024,2024Q1,1,207.22,7
8154,108154,Body Care and Hygiene,Hand Sanitizer,1,27.02,700,2024-04-22,Credit Card - MasterCard,MasterCard,The Americana at Brand,Glendale,California,US,Robert,Vaughan,Male,37.0,1987-12-14,0.0,1661.0,8.0,0.0,2023-04-19,3.0,496.07,Monday,April,2024,2024Q2,0,436.7,11
8155,108155,Skin Care,Face Wash,1,33.52,950,2023-08-30,Cash,,Bloor-Yorkville,Toronto,Ontario,Canada,Thomas,Paul,Male,41.0,1983-11-06,0.0,149.0,7.0,1.0,2021-12-18,40.0,21.6,Wednesday,August,2023,2023Q3,0,538.63,16
8156,108156,Skin Care,Moisturizer,4,18.24,819,2021-08-26,BNPL (Buy Now, Pay Later),Bullring & Grand Central,Birmingham,West Midlands,UK,Logan,Sawyer,Female,23.0,2001-04-14,0.0,310.0,6.0,0.0,2021-12-12,40.0,161.44,Thursday,August,2021,2021Q3,0,592.98,18
8157,108157,Skin Care,Lip Balm,3,76.66,138,2023-02-03,Cash,,The Domain,Austin,Texas,US,Kenneth,White,Female,57.0,1967-12-19,1.0,26.0,6.0,0.0,2021-02-03,12.0,400.49,Friday,February,2023,2023Q1,0,233.70999999999998,9
8158,108158,Oral Care,Mouthwash,3,10.18,909,2022-01-29,BNPL (Buy Now, Pay Later),The Mall at Short Hills,Short Hills,New Jersey,US,Elizabeth,Schmitt,Male,38.0,1987-02-05,0.0,488.0,5.0,0.0,2022-03-16,7.0,21.83,Saturday,January,2022,2022Q1,1,371.66,12
8159,108159,Skin Care,Moisturizer,1,45.57,723,2020-06-06,Credit Card - Visa,Visa,The Shops at Columbus Circle,New York,New York,US,Michael,Maxwell,Male,53.0,1972-01-21,0.0,532.0,9.0,1.0,2022-07-13,22.0,371.9,Saturday,June,2020,2020Q2,1,538.55,12
8160,108160,Hair Care,Hair Oil,4,20.11,111,2023-12-02,BNPL (Buy Now, Pay Later),Palisades Center,West Nyack,New York,US,Erin,Black,Male,67.0,1957-06-10,0.0,533.0,3.0,1.0,2021-04-09,20.0,458.5,Saturday,December,2023,2023Q4,1,536.47,14
8161,108161,Hair Care,Hair Oil,4,22.56,257,2024-03-29,Debit Card - MasterCard,MasterCard,Aventura Mall,Miami,Florida,US,Jeanette,Chambers,Male,47.0,1977-07-16,0.0,49.0,2.0,0.0,2020-08-04,31.0,256.33,Friday,March,2024,2024Q1,0,427.08,17
8162,108162,Hair Care,Shampoo,3,13.41,869,2020-08-29,PayPal,,The Gardens Mall,Palm Beach Gardens,Florida,US,Melissa,Wang,Female,25.0,1999-04-07,1.0,1123.0,8.0,0.0,2023-06-08,45.0,411.52,Saturday,August,2020,2020Q3,1,261.19,10
8163,108163,Body Care and Hygiene,Deodorant,2,9.04,334,2022-04-13,PayPal,,Park Meadows,Lone Tree,Colorado,US,Brianna,Perry,Other,43.0,1982-01-27,0.0,888.0,6.0,0.0,2023-10-17,40.0,106.18,Wednesday,April,2022,2022Q2,0,456.89,16
8164,108164,Skin Care,Lip Balm,4,14.0,851,2024-03-26,BNPL (Buy Now, Pay Later),King of Prussia Mall,Philadelphia,Pennsylvania,US,Jacqueline,Norris,Male,54.0,1970-12-13,1.0,1096.0,6.0,0.0,2023-10-11,8.0,477.26,Tuesday,March,2024,2024Q1,0,223.49,7
8165,108165,Body Care and Hygiene,Hand Sanitizer,2,7.21,259,2020-12-20,Credit Card - AMEX,AMEX,Bellevue Square,Bellevue,Washington,US,Brenda,Charles,Other,27.0,1997-12-23,1.0,625.0,9.0,1.0,2024-11-08,46.0,109.3,Sunday,December,2020,2020Q4,1,148.49,10
8166,108166,Body Care and Hygiene,Hand Sanitizer,3,17.91,252,2021-08-18,BNPL (Buy Now, Pay Later),The Mall in Columbia,Columbia,Maryland,US,Crystal,Santiago,Other,67.0,1957-05-21,0.0,1112.0,4.0,1.0,2023-12-23,18.0,246.84,Wednesday,August,2021,2021Q3,0,425.0,14
8167,108167,Skin Care,Lip Balm,4,23.14,939,2024-02-06,Google Pay,,The Summit,Birmingham,Alabama,US,Daniel,Collins,Female,18.0,2007-02-10,1.0,898.0,6.0,1.0,2024-05-02,4.0,472.45,Tuesday,February,2024,2024Q1,0,309.07,11
8168,108168,Body Care and Hygiene,Body Lotion,4,27.62,242,2023-11-21,BNPL (Buy Now, Pay Later),The Summit,Birmingham,Alabama,US,Lawrence,Nixon,Other,58.0,1966-10-12,1.0,1693.0,9.0,1.0,2023-12-16,11.0,285.01,Tuesday,November,2023,2023Q4,0,250.12,9
8169,108169,Body Care and Hygiene,Body Lotion,2,24.57,827,2021-03-30,Credit Card - Visa,Visa,The Oracle,Reading,Berkshire,UK,Jason,Davis,Male,35.0,1989-12-18,0.0,170.0,8.0,1.0,2023-02-05,26.0,140.54,Tuesday,March,2021,2021Q1,0,448.15000000000003,9
8170,108170,Body Care and Hygiene,Deodorant,4,27.26,420,2024-09-16,BNPL (Buy Now, Pay Later),Yorkdale Shopping Centre,Toronto,Ontario,Canada,Rachel,Garrett,Male,63.0,1961-04-27,0.0,1641.0,5.0,1.0,2024-12-13,38.0,486.66,Monday,September,2024,2024Q3,0,798.1,18
8171,108171,Hair Care,Hair Oil,2,15.53,77,2021-11-25,Cash,,The Florida Mall,Orlando,Florida,US,Pamela,Joyce,Other,69.0,1955-11-10,0.0,293.0,5.0,1.0,2023-04-30,29.0,217.0,Thursday,November,2021,2021Q4,0,407.73,14
8172,108172,Oral Care,Toothpaste,3,12.13,84,2022-05-09,Cash,,West Edmonton Mall,Edmonton,Alberta,Canada,Joseph,Wilkinson,Female,39.0,1985-05-21,0.0,1522.0,9.0,1.0,2023-05-04,8.0,304.54,Monday,May,2022,2022Q2,0,209.93,9
8173,108173,Oral Care,Toothpaste,4,2.77,188,2021-08-16,Google Pay,,Santa Monica Place,Santa Monica,California,US,Jamie,Harmon,Female,49.0,1975-10-16,0.0,630.0,9.0,0.0,2021-04-10,47.0,39.57,Monday,August,2021,2021Q3,0,423.39,16
8174,108174,Skin Care,Lip Balm,1,59.24,709,2022-05-20,Credit Card - Visa,Visa,Pheasant Lane Mall,Nashua,New Hampshire,US,Michael,Gould,Female,41.0,1983-08-19,1.0,230.0,7.0,0.0,2021-06-03,46.0,70.54,Friday,May,2022,2022Q2,0,299.05,9
8175,108175,Body Care and Hygiene,Deodorant,1,28.66,531,2024-07-21,Debit Card - MasterCard,MasterCard,Easton Town Center,Columbus,Ohio,US,Melissa,Johnson,Other,31.0,1993-05-31,1.0,1239.0,3.0,1.0,2021-06-03,44.0,135.84,Sunday,July,2024,2024Q3,1,485.24,10
8176,108176,Skin Care,Face Wash,4,50.38,570,2021-01-10,Credit Card - MasterCard,MasterCard,Westfield San Francisco Centre,San Francisco,California,US,Joseph,Mann,Male,25.0,1999-06-14,1.0,955.0,8.0,0.0,2020-07-09,20.0,372.98,Sunday,January,2021,2021Q1,1,316.29,11
8177,108177,Skin Care,Sunscreen,2,69.4,251,2021-02-09,Debit Card - Visa,Visa,Westfield San Francisco Centre,San Francisco,California,US,Calvin,Newman,Female,40.0,1984-05-21,1.0,1728.0,10.0,0.0,2022-08-10,4.0,127.11,Tuesday,February,2021,2021Q1,0,367.29,11
8178,108178,Hair Care,Hair Oil,3,14.39,273,2024-03-05,Cash,,Stonebriar Centre,Frisco,Texas,US,Jill,Edwards,Other,42.0,1982-09-21,0.0,1676.0,4.0,1.0,2024-05-28,47.0,238.23,Tuesday,March,2024,2024Q1,0,203.0,10
8179,108179,Oral Care,Mouthwash,4,15.15,537,2020-07-28,Cash,,Dolphin Mall,Miami,Florida,US,Stephanie,Taylor,Male,50.0,1975-02-05,1.0,783.0,7.0,0.0,2020-12-02,12.0,78.09,Tuesday,July,2020,2020Q3,0,570.97,14
8180,108180,Skin Care,Moisturizer,4,65.14,497,2021-01-01,Credit Card - AMEX,AMEX,Santa Monica Place,Santa Monica,California,US,Dominic,Jones,Female,57.0,1967-06-18,1.0,699.0,9.0,1.0,2022-03-10,48.0,443.63,Friday,January,2021,2021Q1,0,368.34000000000003,9
8181,108181,Hair Care,Hair Oil,2,34.18,416,2023-05-08,Google Pay,,Metrocentre,Gateshead,Tyne and Wear,UK,Richard,Hall,Male,33.0,1991-05-26,0.0,463.0,8.0,0.0,2023-02-16,33.0,426.48,Monday,May,2023,2023Q2,0,262.22,7
8182,108182,Skin Care,Face Wash,2,77.85,214,2021-11-25,Cash,,Lakeside Shopping Centre,Thurrock,Essex,UK,Cynthia,Lynch,Female,54.0,1971-01-25,1.0,84.0,10.0,0.0,2023-04-19,41.0,107.1,Thursday,November,2021,2021Q4,0,291.45,11
8183,108183,Oral Care,Toothpaste,3,4.0,668,2023-03-05,Google Pay,,Easton Town Center,Columbus,Ohio,US,Donna,Daniels,Male,26.0,1998-06-18,1.0,408.0,9.0,1.0,2020-03-26,16.0,13.65,Sunday,March,2023,2023Q1,1,281.89,10
8184,108184,Body Care and Hygiene,Hand Sanitizer,4,21.73,539,2021-05-05,PayPal,,The Domain,Austin,Texas,US,Andrew,Olson,Other,54.0,1970-08-21,0.0,188.0,9.0,0.0,2022-12-02,5.0,92.74,Wednesday,May,2021,2021Q2,0,90.84,5
